City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,noumea,-22.2763,166.4572,25.0,99,97,6.58,NC,1683859530
261,tianpeng,30.9866,103.9393,17.26,31,20,1.05,CN,1683859533
262,yinchuan,38.4681,106.2731,22.99,12,18,7.0,CN,1683859534
263,cedeira,43.6797,-8.0209,12.75,82,78,5.0,ES,1683859535
264,belyy yar,53.6039,91.3903,9.94,71,0,7.0,RU,1683859535
265,swakopmund,-22.6833,14.5333,14.43,88,100,2.24,NA,1683859536
266,luanco,43.6152,-5.7934,11.4,91,84,3.29,ES,1683859536
267,bathsheba,13.2167,-59.5167,27.34,78,20,4.63,BB,1683859536
268,borovichi,58.3878,33.9155,9.3,67,86,1.94,RU,1683859537
269,togur,58.3631,82.8265,2.33,58,68,5.21,RU,1683859537
270,angaur state,6.906,134.13,28.84,73,28,1.38,PW,1683859537
271,onguday,50.75,86.15,14.34,64,100,2.0,RU,1683859538
272,makokou,0.5738,12.8642,21.07,98,98,0.3,GA,1683859538
273,san antonio de pale,-1.4014,5.6325,27.97,80,93,5.19,GQ,1683859538
274,lebu,-37.6167,-73.65,12.41,94,100,2.16,CL,1683859538
275,puerto ayora,-0.7393,-90.3518,26.42,96,53,1.79,EC,1683859490
276,jalalaqsi,3.3766,45.5996,24.77,89,43,6.14,SO,1683859539
277,al bayda,32.7627,21.7551,11.89,82,0,1.53,LY,1683859539
278,roma,43.2128,-75.4557,12.73,77,0,2.06,US,1683859344
279,keflavik,64.0049,-22.5624,7.24,93,100,7.72,IS,1683859539
280,baikonur,45.6167,63.3167,24.21,36,1,4.12,KZ,1683859540
281,namanga,-2.5433,36.7905,15.62,94,16,0.18,KE,1683859540
282,kirakira,-10.4544,161.9205,29.2,74,82,5.61,SB,1683859540
283,flying fish cove,-10.4217,105.6791,27.82,89,100,5.66,CX,1683859540
284,la passe,45.5549,-0.8967,8.13,86,87,1.61,FR,1683859541
285,woolgoolga,-30.1106,153.2007,20.93,67,15,3.46,AU,1683859541
286,pedernales,18.0384,-71.744,26.13,69,1,1.57,DO,1683859541
287,broadstairs,51.3591,1.4394,10.1,93,100,4.02,GB,1683859541
288,takoradi,4.8845,-1.7554,26.93,85,100,1.82,GH,1683859542
289,rio grande,-32.035,-52.0986,16.49,57,84,4.1,BR,1683859542
290,turtas,58.9417,69.1325,4.57,44,19,0.44,RU,1683859542
291,isangel,-19.55,169.2667,26.06,89,100,1.03,VU,1683859542
292,carutapera,-1.195,-46.02,24.45,93,22,1.86,BR,1683859543
293,miles city,46.4083,-105.8406,12.54,94,100,6.69,US,1683859543
294,westport,41.1415,-73.3579,16.39,69,0,3.6,US,1683859444
295,namibe,-15.1961,12.1522,22.2,77,21,1.8,AO,1683859543
296,taltal,-25.4,-70.4833,16.6,84,23,1.18,CL,1683859544
297,lindisfarne,-42.8333,147.35,16.71,61,40,2.57,AU,1683859544
298,kapa'a,22.0752,-159.319,25.64,70,75,4.63,US,1683859544
299,bim son,20.0781,105.8603,22.95,82,100,5.09,VN,1683859544
300,shengli,37.4564,118.4856,27.9,23,0,5.31,CN,1683859545
301,luderitz,-26.6481,15.1594,15.03,76,100,12.15,NA,1683859545
302,tiszavasvari,47.9667,21.35,9.55,73,100,3.54,HU,1683859545
303,oriximina,-1.7656,-55.8661,23.52,97,100,0.7,BR,1683859545
304,arno,60.1167,18.6333,7.1,63,69,3.47,SE,1683859545
305,oum hadjer,13.2954,19.6966,31.32,36,100,0.33,TD,1683859546
306,santa ana,33.7456,-117.8678,16.83,74,20,4.63,US,1683859288
307,nabire,-3.3667,135.4833,26.95,88,100,0.88,ID,1683859546
308,letterkenny,54.95,-7.7333,7.12,93,0,0.62,IE,1683859546
309,dryden,49.7833,-92.7503,18.16,52,0,2.06,CA,1683859362
310,sale,34.0389,-6.8166,12.33,93,68,0.0,MA,1683859547
311,boyalik,41.2634,28.6314,12.65,74,100,8.61,TR,1683859547
312,san patricio,28.017,-97.5169,26.4,92,1,6.22,US,1683859547
313,alesund,62.4723,6.1549,9.67,94,100,0.51,NO,1683859548
314,velikiy ustyug,60.7644,46.3106,11.42,85,99,1.99,RU,1683859548
315,kalmunai,7.4167,81.8167,28.72,78,97,1.38,LK,1683859548
316,goundi,9.3627,17.366,27.82,57,78,2.79,TD,1683859548
317,kara-balta,42.8142,73.8481,20.44,50,100,7.36,KG,1683859549
318,labrador city,52.9463,-66.9114,0.95,75,0,2.06,CA,1683859549
319,kalaoa,19.7286,-155.9817,22.68,78,40,4.63,US,1683859549
320,shemonaikha,50.6328,81.9056,13.29,68,100,4.44,KZ,1683859550
321,pilar,-9.5972,-35.9567,22.96,90,26,2.23,BR,1683859550
322,amga,60.8953,131.9608,4.25,48,100,2.89,RU,1683859550
323,bafq,31.6128,55.4107,25.17,21,51,0.27,IR,1683859551
324,salym,60.0625,71.4789,2.04,48,66,2.32,RU,1683859551
325,winnemucca,40.973,-117.7357,20.03,22,0,3.6,US,1683859551
326,fale old settlement,-9.3852,-171.2468,28.8,76,26,5.92,TK,1683859552
327,laguna,38.421,-121.4238,22.23,51,0,5.14,US,1683859552
328,dudinka,69.4058,86.1778,-13.54,93,78,6.49,RU,1683859552
329,tomatlan,19.9333,-105.25,24.69,54,56,1.25,MX,1683859553
330,santana,-0.0583,-51.1817,25.1,100,0,1.03,BR,1683859553
331,lebyazh'ye,55.2689,66.4947,8.79,47,48,3.85,RU,1683859553
332,haysville,37.5645,-97.3523,21.4,79,40,6.17,US,1683859553
333,quezon,7.7303,125.0989,32.67,56,25,1.09,PH,1683859554
334,maun,-19.9833,23.4167,12.98,58,0,1.54,BW,1683859554
335,idri,27.5,13.2667,19.42,44,61,3.88,LY,1683859554
336,ormara,25.2088,64.6357,28.92,74,37,6.4,PK,1683859554
337,nizhneangarsk,55.7833,109.55,1.63,70,97,1.29,RU,1683859555
338,isiro,2.7739,27.616,19.36,99,96,0.18,CD,1683859555
339,puerto colombia,10.9878,-74.9547,27.05,87,15,8.91,CO,1683859555
340,pisco,-13.7,-76.2167,20.03,83,100,4.63,PE,1683859556
341,amta,22.58,88.0083,29.96,44,99,4.04,IN,1683859556
342,puerto aysen,-45.4,-72.7,11.69,98,100,2.04,CL,1683859556
343,koutiala,12.3917,-5.4642,31.37,25,98,3.48,ML,1683859556
344,sarny,51.338,26.6019,6.33,68,40,1.7,UA,1683859557
345,marang,5.2056,103.2059,30.95,66,34,0.44,MY,1683859557
346,ambovombe,-25.1667,46.0833,21.73,76,82,1.25,MG,1683859557
